player_id,draft_year,draft_pick
rogeral01,1983,130
popede01,1983,131
wilsoto01,1983,132
tayloos01,1983,133
hurtch01,1983,134
bonaed01,1983,135
hookeri01,1983,136
atkinpa01,1983,137
steelma01,1983,138
threase01,1983,139
kellebr01,1983,140
brownto02,1983,141
columjo01,1983,142
evansda01,1983,143
hillja01,1983,144
willipe02,1983,145
kazanjo01,1983,146
gonzaro01,1983,147
schlute01,1983,148
womacda01,1983,149
drumle01,1983,150
barimde01,1983,151
suttlda01,1983,152
mcdanma01,1983,153
littlpa01,1983,154
gattito01,1983,155
benneke01,1983,156
hicksan01,1983,157
willike08,1983,158
brownfr02,1983,159
jacksro02,1983,160
mixonri01,1983,161
bruinto01,1983,162
boldije01,1983,163
mccalra02,1983,164
tuckela01,1983,165
gannoma01,1983,166
bradlte01,1983,167
mccommi01,1983,168
harrido01,1983,169
wenzege01,1983,170
sadlebi01,1983,171
perrybe01,1983,172
thomage01,1983,173
langmi01,1983,174
tribucl01,1983,175
neumapr01,1983,176
smithfr02,1983,177
smithra04,1983,178
myersjo01,1983,179
burkhbr01,1983,180
mulqumi01,1983,181
brownno01,1983,182
johnstr02,1983,183
austigo01,1983,184
campbja01,1983,185
mitchly01,1983,186
brownjo04,1983,187
maxweda01,1983,188
orangra01,1983,189
goorjgr01,1983,190
webbro01,1983,191
mclaima01,1983,192
arnolsh01,1983,193
morelri01,1983,194
kotchwi01,1983,195
jonesch06,1983,196
hillbe01,1983,197
vannobo01,1983,198
hopsoph01,1983,199
washito01,1983,200
blackke01,1983,201
varnebi01,1983,202
gaspaga01,1983,203
dykstjo01,1983,204
ricejo01,1983,205
fishech01,1983,206
smedma01,1983,207
hanlejo01,1983,208
smithke06,1983,209
emmato01,1983,210
mosteod01,1983,211
zenomi01,1983,212
persoik01,1983,213
corlecl01,1983,214
singlis01,1983,215
carrro01,1983,216
randobe01,1983,217
mccracl01,1983,218
haskiaa01,1983,219
chrisru01,1983,220
binioda01,1983,221
simkuri01,1983,222
kellybo01,1983,223
overtbo01,1983,224
heardla01,1983,225
kupecan01,1983,226
olajuha01,1984,1
bowiesa01,1984,2
jordami01,1984,3
perkisa01,1984,4
barklch01,1984,5
turpime01,1984,6
roberal01,1984,7
gordola01,1984,8
thorpot01,1984,9
woodle01,1984,10
willike02,1984,11
mccorti01,1984,12
humphja01,1984,13
cagemi01,1984,14
stanste01,1984,15
stockjo01,1984,16
turneje01,1984,17
flemive01,1984,18
thompbe01,1984,19
campbto01,1984,20
fieldke01,1984,21
sewelto01,1984,22
jonesea01,1984,23
youngmi01,1984,24
durrade01,1984,25
flemivi01,1984,26
anderro01,1984,27
blackco01,1984,28
grayst01,1984,29
burttst01,1984,30
murphja01,1984,31
turneer01,1984,32
coltest01,1984,33
costnto01,1984,34
wilsoot01,1984,35
jonesch02,1984,36
colembe01,1984,37
sittoch01,1984,38
youngda01,1984,39
teachan01,1984,40
slubyto01,1984,41
whitewi01,1984,42
wiltjgr01,1984,43
reynofr01,1984,44
plummga01,1984,45
kerseje01,1984,46
williro08,1984,47
banksja01,1984,48
dilloti01,1984,49
mcdonbe01,1984,50
peterji01,1984,51
willite02,1984,52
rossri01,1984,53
chapmro01,1984,54
jacksle03,1984,55
allenje03,1984,56
biniojo01,1984,57
parksbo01,1984,58
jarmamu01,1984,59
mitchle02,1984,60
crossje01,1984,61
popeda01,1984,62
sangoyo01,1984,63
greencu01,1984,64
kearnti01,1984,65
sprinke01,1984,66
delanve01,1984,67
gravebu01,1984,68
singlge01,1984,69
carliri01,1984,70
jacksra01,1984,71
johnsme01,1984,72
aaronar01,1984,73
jackswi02,1984,74
glassma01,1984,75
grandji01,1984,76
halsema01,1984,77
deverjo01,1984,78
tilleka01,1984,79
henryca01,1984,80
bealdi01,1984,81
collije01,1984,82
jenkije01,1984,83
horrojo01,1984,84
cornlha01,1984,85
rowinji01,1984,86
thornbo01,1984,87
applebr01,1984,88
smithph02,1984,89
jonesoz01,1984,90
harriea01,1984,91
reveljo01,1984,92
mullike01,1984,93
smithge01,1984,94
robinla04,1984,95
hinchvi01,1984,96
mcclaal01,1984,97
allenal01,1984,98
irishco01,1984,99
richaer01,1984,100
bartest01,1984,101
fosteji01,1984,102
bridgpr01,1984,103
martite04,1984,104
flyebi01,1984,105
pasquel01,1984,106
willida04,1984,107
gaithma01,1984,108
gerremi01,1984,109
mccolsc01,1984,110
whitmmi01,1984,111
doyleri01,1984,112
floyder01,1984,113
federda01,1984,114
berwala01,1984,115
orlanto01,1984,116
vaughcl01,1984,117
tiptoje01,1984,118
doherma01,1984,119
singlmc01,1984,120
hayneph01,1984,121
bugajbl01,1984,122
martito01,1984,123
browndi01,1984,124
burtowi02,1984,125
vanlebr01,1984,126
masteji01,1984,127
vealhe01,1984,128
warnegr01,1984,129
evansla01,1984,130
schmios01,1984,131
harrich02,1984,132
wilkied01,1984,133
ballla02,1984,134
bailere01,1984,135
reddimi01,1984,136
springa01,1984,137
joneske04,1984,138
carfist01,1984,139
edelike01,1984,140
haysbu01,1984,141
jakubjo01,1984,142
gardnjo01,1984,143
brantda01,1984,144
garreti01,1984,145
pittsmi01,1984,146
higgicl01,1984,147
harrich03,1984,148
simpsma01,1984,149
martevi01,1984,150
crensra01,1984,151
gatewga01,1984,152
turnege01,1984,153
evansbo02,1984,154
kerinse01,1984,155
bannike01,1984,156
angervi01,1984,157
francba01,1984,158
willito01,1984,159
congori01,1984,160
haeniri01,1984,161
vanvama01,1984,162
heitzto01,1984,163
crawfbr01,1984,164
beardel01,1984,165
wolffgr01,1984,166
mclouji01,1984,167
odomda01,1984,168
brozopa01,1984,169
tarkada01,1984,170
wendlbi01,1984,171
rollina01,1984,172
brownro04,1984,173
fothema01,1984,174
mcmilje01,1984,175
suttole01,1984,176
winanch01,1984,177
bookeer01,1984,178
tunstri01,1984,179
flintst01,1984,180
roberda01,1984,181
jergebr01,1984,182
dobbsfr01,1984,183
godboch01,1984,184
martibr01,1984,185
piercca02,1984,186
shimkjo01,1984,187
coonbi01,1984,188
schulda02,1984,189
emanumi01,1984,190
rosebme01,1984,191
arnolmi01,1984,192
turnegr01,1984,193
exumce01,1984,194
brownfr03,1984,195
coxbu01,1984,196
willimi06,1984,197
tudorjo01,1984,198
knighke01,1984,199
ryanbi01,1984,200
marotma01,1984,201
blackde01,1984,202
towerbe01,1984,203
greened01,1984,204
mitchmi03,1984,205
dicksjo02,1984,206
carvega01,1984,207
lewisca01,1984,208
spaceda01,1984,209
turnero01,1984,210
mummadi01,1984,211
myricgl01,1984,212
bellti01,1984,213
rodrifr01,1984,214
bailede01,1984,215
colemvi01,1984,216
millsdo02,1984,217
hillez01,1984,218
brandgr01,1984,219
johnsna02,1984,220
jamisph01,1984,221
currami01,1984,222
hendemi01,1984,223
dunnra01,1984,224
pelekda01,1984,225
toomemi01,1984,226
clarkma02,1984,227
trantda01,1984,228
ewingpa01,1985,1
tisdawa01,1985,2
benjabe01,1985,3
mcdanxa01,1985,4
koncajo01,1985,5
kleinjo01,1985,6
mullich01,1985,7
schrede01,1985,8
oaklech01,1985,9
pincked01,1985,10
leeke01,1985,11
greenke02,1985,12
malonka01,1985,13
hugheri01,1985,14
rasmubl01,1985,15
wennibi01,1985,16
blabuw01,1985,17
dumarjo01,1985,18
harrist01,1985,19
vincesa01,1985,20
catlete01,1985,21
reynoje01,1985,22
greenac01,1985,23
portete01,1985,24
smrekmi01,1985,25
martibi01,1985,26
mccladw01,1985,27
johnske01,1985,28
brittmi01,1985,29
duncaca01,1985,30
vanosni01,1985,32
stokegr01,1985,33
sherrau01,1985,34
corbity01,1985,35
josepyv01,1985,36
scurrca01,1985,37
martife01,1985,38
montgge01,1985,39
acresma01,1985,40
charllo01,1985,41
hurtbo01,1985,42
steveba01,1985,43
wintevo01,1985,44
williho01,1985,45
brancad01,1985,46
wilkige01,1985,47
patteke01,1985,48
wrighbr01,1985,49
allenle01,1985,50
bradlch02,1985,51
lavodan01,1985,52
lambro01,1985,53
mitchsa01,1985,54
johnshe01,1985,55
evereje01,1985,56
paynemi01,1985,57
mooreve01,1985,58
toneyse01,1985,59
goodean01,1985,60
youngpe01,1985,61
migueni01,1985,62
keeliha01,1985,63
johnsri02,1985,64
perryke01,1985,65
adamsmi01,1985,66
blackst01,1985,67
mcdoweu01,1985,68
brownmi01,1985,69
battlan01,1985,70
goodwlu01,1985,71
hamilvi01,1985,72
cofiefr01,1985,73
deineji01,1985,74
stivral01,1985,75
simmowi01,1985,76
sabonar01,1985,77
hallgr01,1985,78
davisma01,1985,79
beardcr01,1985,80
adamsri02,1985,81
rothsc01,1985,82
ruddde01,1985,83
battljo01,1985,84
atkinjo01,1985,85
jennibu01,1985,86
webbsp01,1985,87
brookmi02,1985,88
willipe01,1985,89
gervide01,1985,90
mcqueco01,1985,91
shousde01,1985,92
webercl01,1985,93
johnske06,1985,94
cavengr01,1985,95
schlemi01,1985,96
stefalo01,1985,97
lojewbo01,1985,98
carlawa01,1985,99
hamptla01,1985,100
behnkgu01,1985,101
campbsh01,1985,102
gettyre01,1985,103
shaffde01,1985,104
hallra01,1985,105
olivicl01,1985,106
anderja03,1985,107
blainke01,1985,108
davisto02,1985,109
lahmmi01,1985,110
danieiv01,1985,111
brownke02,1985,112
wrighca01,1985,113
knighra01,1985,114
saareti01,1985,115
buttsal01,1985,116
crosbge01,1985,117
primust01,1985,118
lockhke01,1985,119
balench01,1985,120
thomama03,1985,121
