method,snapshot_year,horizon,age_bucket,n,rmse,mae,bias,std
carmelo-squared,2014,5,28-31,22,7.163205543577491,5.340274737638814,-2.7680608062282848,6.606765701352071
538-linear,2014,5,28-31,22,6.200062347184121,4.902847553358585,-2.785288397496572,5.539218505506102
538-squared,2014,5,28-31,22,6.159654192275345,4.897143110649154,-2.7633426521533466,5.505022902332499
SPS,2014,5,<=23,52,8.112931284941066,6.521622486268867,-3.14939605203027,7.476694359249389
carmelo-linear,2014,5,<=23,52,8.271080037056771,6.667419657132536,-3.4449619918088112,7.5195080859316645
carmelo-squared,2014,5,<=23,52,8.283955386397812,6.674752297273054,-3.4517902131572455,7.530541890739418
538-linear,2014,5,<=23,52,8.284111130421234,6.589186022664224,-3.712330498488765,7.405747733426998
538-squared,2014,5,<=23,52,8.260989111905639,6.534805652074703,-3.747932343935001,7.361857391467823
SPS,2015,1,24-27,97,3.930674643765508,3.1041449528981513,-0.5566695943817583,3.891056683965417
carmelo-linear,2015,1,24-27,97,3.8633490358984335,3.013931191098291,-0.8395634030912718,3.771020957959151
carmelo-squared,2015,1,24-27,97,3.8712606078122005,3.017350086756771,-0.8276010609458974,3.7817635010031645
538-linear,2015,1,24-27,97,3.8755897131398744,3.0218140349923606,-0.8592008650367916,3.779149308788374
538-squared,2015,1,24-27,97,3.8664455951503767,3.0192197363404074,-0.841369760481612,3.7737909940012395
SPS,2015,1,28-31,63,4.266393568218548,3.3811671814489563,0.8118520305209811,4.188437699127869
carmelo-linear,2015,1,28-31,63,4.40282082553915,3.5835426087013595,-0.6689862305102084,4.351699512281264
carmelo-squared,2015,1,28-31,63,4.395857544230806,3.5826787684580554,-0.6752873845833731,4.343679373226509
538-linear,2015,1,28-31,63,4.363870334250399,3.5994011236908277,-0.8508152677505778,4.280125894680343
538-squared,2015,1,28-31,63,4.368441931680593,3.5918617908588657,-0.8210574792411449,4.290588482509998
SPS,2015,1,32-35,25,3.037819502826686,2.4654689203248212,1.6534061209325197,2.5484496328193442
carmelo-linear,2015,1,32-35,25,2.685425635607999,2.0423353932270136,-0.22239992345411996,2.676200500416258
carmelo-squared,2015,1,32-35,25,2.6885822109989603,2.048119130610974,-0.21415351117305065,2.6800396599588434
538-linear,2015,1,32-35,25,2.526104225465757,1.8619618528154525,-0.36153365599579845,2.5000991927318124
538-squared,2015,1,32-35,25,2.5367709625007553,1.8505080662234483,-0.3492495951545482,2.5126145021613224
SPS,2015,1,36+,7,3.7550095420674623,3.0556242638647575,2.1578403847214376,3.0730801380834394
carmelo-linear,2015,1,36+,7,2.8943201528242675,2.2145485765998267,-0.05189365438650435,2.8938549023195868
carmelo-squared,2015,1,36+,7,2.916025718447972,2.2306710508184007,0.0014570373719176338,2.9160253544323154
538-linear,2015,1,36+,7,2.9677233336639675,2.448099431940444,-0.13775301467471276,2.9645245642634843
538-squared,2015,1,36+,7,2.827795120122331,2.275821453158637,-0.17105159632509612,2.8226169759254094
SPS,2015,1,<=23,78,4.9426104199820395,3.727888105648267,-0.7024733913254325,4.892435885956481
