method,snapshot_year,horizon,age_bucket,n,rmse,mae,bias,std
538-squared,2016,1,28-31,71,3.952347887964123,3.1058933967660844,-1.0499237809564885,3.810343013650674
SPS,2016,1,32-35,21,2.8998242696794128,2.3298887029441997,1.3101218760511617,2.586998543662892
carmelo-linear,2016,1,32-35,21,2.625056341747811,2.2978305348069474,-0.4018418703613614,2.5941171732546864
carmelo-squared,2016,1,32-35,21,2.6043741784513146,2.289627377645935,-0.40060006182043023,2.573379966474719
538-linear,2016,1,32-35,21,2.6764297028478703,2.290999559052618,-0.5388814025172105,2.621618352908643
538-squared,2016,1,32-35,21,2.6207951321325003,2.22846108888468,-0.4737933924113281,2.5776126446610967
SPS,2016,1,36+,6,3.760556949865812,2.7918289085478682,1.1430393312144962,3.5826316668729397
carmelo-linear,2016,1,36+,6,4.185944828044473,3.2243389099856032,-0.7818436889114291,4.11228094243835
carmelo-squared,2016,1,36+,6,4.173299077049566,3.1911706776459408,-0.7610940320039496,4.103310987599006
538-linear,2016,1,36+,6,4.055362798860834,3.449242251447562,-1.330727412141041,3.8308134886680123
538-squared,2016,1,36+,6,4.1285806390058815,3.516380049030707,-1.386556796072363,3.8887836586829763
SPS,2016,1,<=23,87,4.624267967578745,3.793287440839713,-1.5060381096141904,4.372150894967438
carmelo-linear,2016,1,<=23,87,4.39146003580726,3.637323478050284,-0.9489443451938994,4.287706365391271
carmelo-squared,2016,1,<=23,87,4.389849870272757,3.636847151185981,-0.9489421400790738,4.28605771056759
538-linear,2016,1,<=23,87,4.384054937768444,3.612955834303574,-1.002069740481625,4.267996477573871
538-squared,2016,1,<=23,87,4.366838536154326,3.6121842840409415,-0.9714791800971985,4.257406135604183
SPS,2016,2,24-27,85,5.291724936756928,4.164882972944569,0.24227420868325014,5.286175934841936
carmelo-linear,2016,2,24-27,85,5.196063254460695,4.130227670713089,-0.6714410045857176,5.152498454314915
carmelo-squared,2016,2,24-27,85,5.190805363230342,4.125359760953875,-0.6656744720212311,5.147945009053626
538-linear,2016,2,24-27,85,5.096125969041305,4.06371154978307,-0.675051782452241,5.051218168258546
538-squared,2016,2,24-27,85,5.0462452686937445,4.024770636086176,-0.661064068936381,5.0027578003112705
SPS,2016,2,28-31,54,5.382781740222475,4.308043110478714,0.37307955848831514,5.369837139607744
carmelo-linear,2016,2,28-31,54,5.801872566380365,4.530320152680512,-2.137740072067859,5.393680808204392
carmelo-squared,2016,2,28-31,54,5.80122263130474,4.536646888312274,-2.129673116491508,5.396172387429412
538-linear,2016,2,28-31,54,5.7106284253151145,4.491786450665846,-2.369612064051507,5.195788263383963
538-squared,2016,2,28-31,54,5.6576461852104005,4.45269496499718,-2.326210680861729,5.157296212674876
SPS,2016,2,32-35,13,3.5105041626497346,2.85621447031689,2.4928256418320918,2.4717321447530542
carmelo-linear,2016,2,32-35,13,2.7422997941054046,2.335571667918551,0.4051557293908284,2.7122051905584748
carmelo-squared,2016,2,32-35,13,2.73958192920818,2.3392964715895035,0.4169060705846584,2.7076739972075057
538-linear,2016,2,32-35,13,2.4529332058650057,2.1342073988366037,0.08515049735168478,2.4514548140310346
538-squared,2016,2,32-35,13,2.45715073522882,2.1883874478600207,0.09982041256582387,2.455122322995479
SPS,2016,2,<=23,81,5.909650045596831,4.860540090555804,-2.108712575652635,5.520624505860461
carmelo-linear,2016,2,<=23,81,5.797508142135071,4.789406858155147,-1.5626919083494142,5.582928860168444
carmelo-squared,2016,2,<=23,81,5.793713067259159,4.784856253043731,-1.5542497530027812,5.581345609350878
538-linear,2016,2,<=23,81,5.769769030931144,4.822413577264016,-1.6721960762579877,5.522136810405868
538-squared,2016,2,<=23,81,5.743455434947409,4.812853533654002,-1.6419664327216388,5.5037465936434895
SPS,2016,3,24-27,75,5.356057083042332,4.234664657617265,-0.100372968104315,5.355116501448112
carmelo-linear,2016,3,24-27,75,5.48178098937012,4.2692609125707435,-1.6661498992420687,5.222438829577165
carmelo-squared,2016,3,24-27,75,5.476568622393217,4.272953972883918,-1.6493164290759748,5.222313586195493
538-linear,2016,3,24-27,75,5.475209369999467,4.374348927874055,-1.7735532017670896,5.180002575851837
538-squared,2016,3,24-27,75,5.468714485134352,4.3706673865399255,-1.7520690112443258,5.180452904887334
SPS,2016,3,28-31,39,5.630126225349266,4.357377450272658,-1.0391148688763425,5.533404160428341
carmelo-linear,2016,3,28-31,39,6.879121740459039,5.17600066594921,-4.054732556547297,5.557108943950229
carmelo-squared,2016,3,28-31,39,6.848346801414067,5.153161032013525,-4.037651071583809,5.531476090211041
538-linear,2016,3,28-31,39,6.874572226886023,5.389595614948705,-4.324138438777052,5.344302579847385
538-squared,2016,3,28-31,39,6.841215715962665,5.347567556850892,-4.2693955876136025,5.345511555389256
SPS,2016,3,32-35,7,3.424990607172142,2.7012952557564978,1.1388117947876821,3.2301189382544186
carmelo-linear,2016,3,32-35,7,3.0643660059364084,2.691360495773484,-0.8072578154747916,2.956124800764258
carmelo-squared,2016,3,32-35,7,3.039007683745147,2.693099368475455,-0.814465537306389,2.927834283288974
538-linear,2016,3,32-35,7,3.4775694087675273,3.1660261586940766,-1.5602690538951483,3.1079011361774147
538-squared,2016,3,32-35,7,3.5305457833907696,3.2478123738994147,-1.6791147478942483,3.1056927072752023
SPS,2016,3,<=23,65,7.391129637009242,5.992518841236933,-2.247412903400229,7.041159886886998
carmelo-linear,2016,3,<=23,65,7.096326465621869,5.744780222231445,-1.7204134516970768,6.884622492330652
carmelo-squared,2016,3,<=23,65,7.089356163236977,5.736348758645577,-1.7075959885981316,6.880631275468093
538-linear,2016,3,<=23,65,7.069306544622539,5.710566891847523,-1.7694924047184657,6.84426706459404
538-squared,2016,3,<=23,65,7.008471714819275,5.692425477368271,-1.7638828732218468,6.782874979459407
SPS,2016,4,24-27,57,6.165940994197261,5.083544154846177,-0.7114652797409615,6.12475677065183
carmelo-linear,2016,4,24-27,57,6.477205193806318,5.486011833311907,-2.7356241688562655,5.871162366128279
carmelo-squared,2016,4,24-27,57,6.4603692918083055,5.470618684406701,-2.719481397200469,5.860101732634028
538-linear,2016,4,24-27,57,6.451206759223771,5.445792637470466,-2.8119054669381622,5.806139534601088
538-squared,2016,4,24-27,57,6.442966989910782,5.4314261603610925,-2.794002597708418,5.805632878255272
SPS,2016,4,28-31,30,6.044678613857668,4.950224041236303,-1.0370093457212297,5.955060970444811
carmelo-linear,2016,4,28-31,30,7.335548220046396,5.624412313903852,-4.112686673068654,6.074214024694005
carmelo-squared,2016,4,28-31,30,7.334371771686796,5.616740878482632,-4.105244907384279,6.0778263824916525
538-linear,2016,4,28-31,30,7.210765988144792,5.584087414985029,-4.514361575339303,5.622782736589223
538-squared,2016,4,28-31,30,7.104324354780847,5.5273194062718085,-4.417368843238984,5.564016268911673
SPS,2016,4,<=23,61,8.242694749151354,6.681045823686904,-1.8154328524595766,8.040287326078454
carmelo-linear,2016,4,<=23,61,8.23295125217641,6.685143685039049,-1.6810411698196461,8.059502894477085
carmelo-squared,2016,4,<=23,61,8.231549019294206,6.68111762845691,-1.6693501015899894,8.060500573498205
538-linear,2016,4,<=23,61,8.123897004152132,6.525361369865868,-1.824651286252029,7.91633439273827
538-squared,2016,4,<=23,61,8.075072190006585,6.469481740170688,-1.8153573289585179,7.868371409765452
SPS,2016,5,24-27,57,6.225995107764221,5.10766281041002,-0.4293772698307851,6.211171406591245
carmelo-linear,2016,5,24-27,57,6.950243808012055,5.440826040777991,-3.149010671286986,6.195935827857693
carmelo-squared,2016,5,24-27,57,6.942169587805176,5.4359033010205975,-3.132481365688082,6.195262632000681
538-linear,2016,5,24-27,57,6.906162431371311,5.390998394513378,-3.2420508424081445,6.097883720088892
538-squared,2016,5,24-27,57,6.8972635365472055,5.37692778588585,-3.230886537565128,6.093735838872905
SPS,2016,5,28-31,19,6.128518581773149,4.92741978386608,-2.1501897613840963,5.738939274567887
carmelo-linear,2016,5,28-31,19,7.484964711288065,6.186210807086241,-4.85174807593392,5.699582207223537
carmelo-squared,2016,5,28-31,19,7.475787295539068,6.182840366108044,-4.842624304764059,5.695295034592303
538-linear,2016,5,28-31,19,7.702102603199826,6.468663524942901,-5.328395400794645,5.561527394790753
538-squared,2016,5,28-31,19,7.650455337383999,6.475089107755969,-5.272921336456261,5.543082847013169
SPS,2016,5,<=23,56,8.956097935233139,7.210829268119693,-2.090434753627118,8.708718204553136
carmelo-linear,2016,5,<=23,56,8.865483265627459,7.212840135189198,-2.139345337685641,8.603487377758118
carmelo-squared,2016,5,<=23,56,8.873037604498572,7.222591595978357,-2.1408498697528127,8.610897639969084
538-linear,2016,5,<=23,56,8.935353584483565,7.223589887890687,-2.435386437750487,8.597059763579889
538-squared,2016,5,<=23,56,9.000389176729893,7.266435282982174,-2.484618901838949,8.650645886014594
SPS,2017,1,24-27,84,4.365499610247213,3.5255144871430737,-0.6153058561744239,4.32191919758179
carmelo-linear,2017,1,24-27,84,4.38095954392315,3.517673355580518,-0.927816918172155,4.281584086742296
carmelo-squared,2017,1,24-27,84,4.38075328397256,3.5145044476828167,-0.9293281110843284,4.281045269205267
538-linear,2017,1,24-27,84,4.3618850544175105,3.5129961890659085,-0.8989971263310037,4.268236801631259
538-squared,2017,1,24-27,84,4.347690600337961,3.4949974350571527,-0.8839466492414756,4.256882882763141
SPS,2017,1,28-31,66,3.6682718671537162,2.863557775416946,0.6873970377043332,3.6032906910082514
carmelo-linear,2017,1,28-31,66,3.740247013691951,2.9274829018006656,-0.8587779217413908,3.6403225412813485
carmelo-squared,2017,1,28-31,66,3.7400883702187544,2.928822427548094,-0.8562345616669638,3.6407586286998708
538-linear,2017,1,28-31,66,3.7344829656990175,2.9047990377878463,-0.9923329516706524,3.6002275392153678
538-squared,2017,1,28-31,66,3.702201451161993,2.861553545843448,-0.9504178711995656,3.5781282055133876
SPS,2017,1,32-35,19,4.025646363469124,3.235919445904922,0.9858525499632508,3.9030658966308955
carmelo-linear,2017,1,32-35,19,3.961640748132841,3.133846151072987,-0.887123869478392,3.8610372514996825
carmelo-squared,2017,1,32-35,19,3.9496808603372533,3.1144035406309913,-0.8748779477603578,3.85156688570211
538-linear,2017,1,32-35,19,3.9087497379240745,3.137163998989807,-0.8733650138880218,3.8099288794199158
538-squared,2017,1,32-35,19,3.90120955784562,3.1476243030881044,-0.8435710031411352,3.8089137528809283
SPS,2017,1,36+,8,2.0779354156480645,1.5404356351488857,0.8765433082524917,1.8840083387188793
carmelo-linear,2017,1,36+,8,2.043725540293959,1.667405776142437,-1.016585012013026,1.772954877429291
carmelo-squared,2017,1,36+,8,2.070692373937325,1.708870569713567,-1.0412737055303425,1.7898368578318258
538-linear,2017,1,36+,8,2.671780273145008,2.3583251384036155,-1.7725363365816855,1.99913100207675
538-squared,2017,1,36+,8,2.786019885815329,2.4361877130760403,-1.7615822942821362,2.1584102076829934
SPS,2017,1,<=23,89,5.528026438410853,4.508853510428115,-1.9921735122574025,5.156580359194394
carmelo-linear,2017,1,<=23,89,5.379355737519161,4.361876326549469,-1.3536211922020376,5.206263325918297
carmelo-squared,2017,1,<=23,89,5.375980520890775,4.355905260797272,-1.3506227438221092,5.203555012188061
538-linear,2017,1,<=23,89,5.367404414536733,4.333627964587584,-1.4635213544510464,5.1640231790973
538-squared,2017,1,<=23,89,5.365110100747873,4.328207987360396,-1.4773613866057251,5.15769422576729
SPS,2017,2,24-27,67,5.06465807926749,4.121459581400834,-0.41996917799259087,5.047215801749087
carmelo-linear,2017,2,24-27,67,5.137079785443996,4.1788113045085105,-1.2910311764194853,4.972205468756319
carmelo-squared,2017,2,24-27,67,5.132595179898356,4.175237137410774,-1.277666906226577,4.971026107097934
538-linear,2017,2,24-27,67,5.106609353038303,4.188162042851033,-1.327242351776357,4.9311141564751315
538-squared,2017,2,24-27,67,5.1108604706699685,4.194220035059152,-1.3162522846770313,4.9384587346397195
SPS,2017,2,28-31,52,4.219353014111352,3.1797650829136987,-0.38396686962250265,4.201845939670188
carmelo-linear,2017,2,28-31,52,5.043122317343131,3.789109976364744,-2.8460139552324866,4.163326467418367
carmelo-squared,2017,2,28-31,52,5.049397733625402,3.796901058483456,-2.8500370483726813,4.168177814734453
538-linear,2017,2,28-31,52,5.07038629621603,3.797192154639058,-2.999108917848341,4.088295842002859
538-squared,2017,2,28-31,52,5.048641130239471,3.79512532580386,-2.9625758983710186,4.088021686382892
SPS,2017,2,32-35,13,5.154470886214053,4.404622975890054,1.1204082474239945,5.031228028616134
carmelo-linear,2017,2,32-35,13,5.244932351871987,4.4472715561986575,-1.4961327063406944,5.027017236963792
carmelo-squared,2017,2,32-35,13,5.266646712316936,4.450918254406115,-1.4983744330582023,5.0490040256189435
538-linear,2017,2,32-35,13,4.841967323345859,4.187490790270951,-1.2752869405399363,4.671005328581562
538-squared,2017,2,32-35,13,4.815272958787481,4.176093861044801,-1.2828020325356635,4.641257654230404
SPS,2017,2,<=23,74,6.674357458476979,5.648702278640165,-2.7012097415602514,6.103319868368958
carmelo-linear,2017,2,<=23,74,6.572829618530399,5.4737189296966235,-1.9811975815292584,6.26713214613934
carmelo-squared,2017,2,<=23,74,6.5544493953436564,5.461050990903419,-1.9716653929791341,6.250867336158181
538-linear,2017,2,<=23,74,6.582140066746486,5.532890130299818,-2.248429401592364,6.18620506322935
538-squared,2017,2,<=23,74,6.6030163168661264,5.547892441704787,-2.300405611192964,6.189342332170053
SPS,2017,3,24-27,64,5.338568248180117,4.418948588771137,-0.4739049778773954,5.317492361293992
carmelo-linear,2017,3,24-27,64,5.6443895831759585,4.691282547013779,-1.7364252119476467,5.3706574318213445
carmelo-squared,2017,3,24-27,64,5.624835600385197,4.678481118215147,-1.7322242567458135,5.3514647205883845
538-linear,2017,3,24-27,64,5.528456630502567,4.589574358569434,-1.8722870414189656,5.201766425925179
538-squared,2017,3,24-27,64,5.543404974024021,4.598969189444322,-1.8589296983129566,5.222424636389152
SPS,2017,3,28-31,40,5.531729366681203,4.709438569666152,0.5378487565956103,5.505519821164191
carmelo-linear,2017,3,28-31,40,5.920877192736536,4.851042277673707,-2.367815484863935,5.426807216136044
carmelo-squared,2017,3,28-31,40,5.913883545199749,4.8495502885050765,-2.364529576694152,5.420610525311971
538-linear,2017,3,28-31,40,5.855178729560764,4.767716136038947,-2.5596986487305475,5.266028938658409
538-squared,2017,3,28-31,40,5.779649284576094,4.723378393279387,-2.4823184041918553,5.219429201829579
SPS,2017,3,32-35,8,6.34279070704861,4.645589381574096,0.791429821171432,6.293221177710406
carmelo-linear,2017,3,32-35,8,6.497360588960816,4.776672873195786,-1.8645151666904818,6.22408851287981
carmelo-squared,2017,3,32-35,8,6.534953974306506,4.784157928874823,-1.8627966592586063,6.263833654604772
538-linear,2017,3,32-35,8,5.650178842622403,4.495862994644466,-1.3749150269393429,5.480340283441734
538-squared,2017,3,32-35,8,5.529803926749686,4.404101597897676,-1.3385748334523242,5.365347042227961
SPS,2017,3,<=23,69,8.21989552943305,6.504563393463226,-2.7286144659574805,7.75379556159182
carmelo-linear,2017,3,<=23,69,8.196696317679798,6.487541055391191,-2.2706552888533382,7.875909794015413
carmelo-squared,2017,3,<=23,69,8.197908641679206,6.4885827332164245,-2.2628799818011527,7.87940862535268
538-linear,2017,3,<=23,69,8.153444308756681,6.505506034751987,-2.3391116055629486,7.810711298768982
538-squared,2017,3,<=23,69,8.107288022709477,6.4809657978449025,-2.3558793564187637,7.7574449106112535
SPS,2017,4,24-27,60,5.539649364621784,4.707258123057192,-0.6099500727804941,5.505967307537305
carmelo-linear,2017,4,24-27,60,5.871247698177802,4.923667952902682,-2.582657827874184,5.2727059540124515
carmelo-squared,2017,4,24-27,60,5.87101469454563,4.9247859370276315,-2.58206655218469,5.2727360889446935
538-linear,2017,4,24-27,60,5.961051718586054,4.975620835125162,-2.7884455396738717,5.26865343934583
538-squared,2017,4,24-27,60,5.9629694015510575,4.97575323841503,-2.7727915717804312,5.279074822665199
SPS,2017,4,28-31,32,4.8815300064238425,4.174573138025518,-0.6777765286988098,4.834248047086676
carmelo-linear,2017,4,28-31,32,6.508486349926171,5.284259552382103,-4.142541065021989,5.019935068482638
carmelo-squared,2017,4,28-31,32,6.522923106700751,5.286572598192962,-4.144317023672757,5.037178005910329
538-linear,2017,4,28-31,32,6.209550025075505,5.184044703061073,-4.10699161822431,4.657373869655567
538-squared,2017,4,28-31,32,6.054781789100623,5.114419686677695,-3.9692028727486104,4.572287290688187
SPS,2017,4,<=23,58,9.822877613766416,7.927512894125294,-3.2149032636522294,9.281881362115744
carmelo-linear,2017,4,<=23,58,9.782701968315118,7.86232739170814,-2.858546715026301,9.355745212375593
carmelo-squared,2017,4,<=23,58,9.782124523838604,7.859656757688028,-2.8495524975535758,9.35788495139638
538-linear,2017,4,<=23,58,9.702893381842696,7.787462838649356,-3.075528546506458,9.202568344708485
538-squared,2017,4,<=23,58,9.662507514783208,7.778082866923007,-3.0882435290127668,9.155697864103681
SPS,2017,5,24-27,53,6.515481470199878,5.402997766966403,0.6875885659186444,6.479098760825914
carmelo-linear,2017,5,24-27,53,6.6150066571589985,5.764947227438027,-1.7221694765114395,6.386896379966578
carmelo-squared,2017,5,24-27,53,6.614689994663395,5.770212531131206,-1.7241102790003713,6.386044743919768
538-linear,2017,5,24-27,53,6.762312887449581,5.9046071426628,-2.1063239136395495,6.425906563170434
538-squared,2017,5,24-27,53,6.787079308414188,5.915654927075372,-2.1203218731727134,6.447377815271056
SPS,2017,5,28-31,30,5.1744781511797475,4.147743062148494,-0.5863324135724963,5.141151470033813
carmelo-linear,2017,5,28-31,30,6.714007592601801,5.178140579599214,-4.020962504578604,5.376779564970803
carmelo-squared,2017,5,28-31,30,6.763003347597218,5.203864113098397,-4.034974242440229,5.4274484928422
538-linear,2017,5,28-31,30,6.252392088002818,4.933386648609125,-4.009875682637106,4.797218343156358
538-squared,2017,5,28-31,30,6.0439149577654065,4.79512579847069,-3.904135223740253,4.613744268102759
SPS,2017,5,<=23,49,10.74131420249944,8.246028872893126,-2.859170306998539,10.353790414741555
carmelo-linear,2017,5,<=23,49,10.670774804686832,8.231763731540838,-2.8431397418137143,10.28503725520033
carmelo-squared,2017,5,<=23,49,10.674284440354983,8.231941930491713,-2.8462991477177373,10.287804891001082
538-linear,2017,5,<=23,49,10.541615777167507,8.076938163675822,-3.0996543158549374,10.07560451365717
538-squared,2017,5,<=23,49,10.490261578340888,7.989804309206234,-3.113012545166218,10.017721341485439
SPS,2018,1,24-27,96,4.499692164676487,3.615184718373055,-0.772908344204323,4.432814260524605
carmelo-linear,2018,1,24-27,96,4.553707427168002,3.6421782112930363,-1.0287847138012751,4.435972649249975
carmelo-squared,2018,1,24-27,96,4.556569739098194,3.6419637337502664,-1.0330405786645622,4.4379223686425355
538-linear,2018,1,24-27,96,4.545933692524145,3.6126787140679966,-1.0279760314082118,4.428180034243915
538-squared,2018,1,24-27,96,4.545515643940134,3.614360356853325,-1.0107981173036733,4.431703920092118
SPS,2018,1,28-31,60,4.472386852995189,3.282823268863423,0.030474263422050254,4.472283027952625
carmelo-linear,2018,1,28-31,60,4.858565194280873,3.674830983737367,-1.4875400594465755,4.625243811802704
carmelo-squared,2018,1,28-31,60,4.850187045654963,3.6620078958692193,-1.477540190756545,4.619652515345536
538-linear,2018,1,28-31,60,4.911321440330935,3.808251488336393,-1.680811985254023,4.614753445253687
538-squared,2018,1,28-31,60,4.917796726053301,3.8236402144618102,-1.6950591733376705,4.616437916582913
SPS,2018,1,32-35,21,3.386032752399386,2.6005077020730893,0.3643601854658214,3.3663718534304374
carmelo-linear,2018,1,32-35,21,3.7126760482242345,2.9558842071078213,-1.4514252166681811,3.4172105992282122
carmelo-squared,2018,1,32-35,21,3.7222194842835026,2.9650349463503263,-1.4422463352003942,3.4314491687595745
538-linear,2018,1,32-35,21,3.676627727132489,3.0559801993656275,-1.554015493465211,3.332060517155937
538-squared,2018,1,32-35,21,3.6947566935638783,3.0595914325707945,-1.5281429563579827,3.3639271885058046
SPS,2018,1,<=23,88,5.492533538678383,4.321067869395625,-2.03343883621587,5.102259418421991
carmelo-linear,2018,1,<=23,88,5.343742159595822,4.161265321558892,-1.5456873363137726,5.115313375209877
carmelo-squared,2018,1,<=23,88,5.344266741117457,4.160688187103781,-1.548304007732542,5.115070058156932
538-linear,2018,1,<=23,88,5.320150745253249,4.139852940201944,-1.5997465136062017,5.073934867972145
538-squared,2018,1,<=23,88,5.315151036880238,4.1419447891345005,-1.6017300636545864,5.06806583896008
SPS,2018,2,24-27,86,5.501911440573136,4.4303803383628795,-1.3397265321855072,5.3363060555844966
carmelo-linear,2018,2,24-27,86,5.697860708971857,4.517045238801438,-2.0356248269609156,5.321827526583853
carmelo-squared,2018,2,24-27,86,5.703481321677883,4.52051909835049,-2.0400881773883355,5.326137382307071
538-linear,2018,2,24-27,86,5.7479659496012605,4.557048756321983,-2.124474750701568,5.3409474432358
538-squared,2018,2,24-27,86,5.738165388004307,4.555141232664912,-2.1166102287188595,5.333526334403284
SPS,2018,2,28-31,41,4.745555201383297,3.9785231300876265,-0.2541858798039563,4.738742840446647
carmelo-linear,2018,2,28-31,41,5.511595561082689,4.638941342187664,-2.740852548128937,4.781779264914006
carmelo-squared,2018,2,28-31,41,5.513449978119801,4.639503912541589,-2.7467527742744435,4.780531336393987
538-linear,2018,2,28-31,41,5.538824748234078,4.656833124980123,-2.950896496549165,4.687300871322873
538-squared,2018,2,28-31,41,5.503899599501578,4.617597456222857,-2.9500875051373945,4.64649271100535
SPS,2018,2,32-35,16,5.69019415033363,4.8721660810676735,2.569766903903058,5.076869855343501
carmelo-linear,2018,2,32-35,16,5.358579145847766,4.776438805574532,0.09916446006164364,5.357661511534229
carmelo-squared,2018,2,32-35,16,5.345549616935931,4.766213629444165,0.06826320236414468,5.345113735209651
538-linear,2018,2,32-35,16,4.810595214031148,4.270032124596755,0.29995083940775846,4.80123482108488
